Mode,Tier,Map,Hero,Role,Win Rate (%),Pick Rate (%)
Quick Play,All,esperanca,Wrecking Ball,TANK,52.7,4.3
Quick Play,All,esperanca,Wuyang,SUPPORT,52.9,14.6
Quick Play,All,esperanca,Zarya,TANK,46.4,5.7
Quick Play,All,esperanca,Zenyatta,SUPPORT,54.4,9.1
Quick Play,All,new-queen-street,Ana,SUPPORT,47.4,35.3
Quick Play,All,new-queen-street,Anran,DAMAGE,50.7,14.1
Quick Play,All,new-queen-street,Ashe,DAMAGE,49.6,10.7
Quick Play,All,new-queen-street,Baptiste,SUPPORT,46.0,5.3
Quick Play,All,new-queen-street,Bastion,DAMAGE,48.9,9.4
Quick Play,All,new-queen-street,Brigitte,SUPPORT,46.7,3.9
Quick Play,All,new-queen-street,Cassidy,DAMAGE,47.3,20.7
Quick Play,All,new-queen-street,D.Va,TANK,47.5,8.1
Quick Play,All,new-queen-street,Domina,TANK,53.2,12.6
Quick Play,All,new-queen-street,Doomfist,TANK,49.3,9.4
Quick Play,All,new-queen-street,Echo,DAMAGE,51.2,4.8
Quick Play,All,new-queen-street,Emre,DAMAGE,50.2,19.9
Quick Play,All,new-queen-street,Freja,DAMAGE,45.6,4.8
Quick Play,All,new-queen-street,Genji,DAMAGE,50.4,11.3
Quick Play,All,new-queen-street,Hanzo,DAMAGE,47.5,6.0
Quick Play,All,new-queen-street,Hazard,TANK,52.2,3.5
Quick Play,All,new-queen-street,Illari,SUPPORT,54.1,6.3
Quick Play,All,new-queen-street,Jetpack Cat,SUPPORT,47.0,13.4
Quick Play,All,new-queen-street,Junker Queen,TANK,53.7,4.0
Quick Play,All,new-queen-street,Junkrat,DAMAGE,46.9,5.1
Quick Play,All,new-queen-street,Juno,SUPPORT,51.3,15.7
Quick Play,All,new-queen-street,Kiriko,SUPPORT,49.2,37.0
Quick Play,All,new-queen-street,Lifeweaver,SUPPORT,47.6,6.5
Quick Play,All,new-queen-street,Lúcio,SUPPORT,49.4,5.5
Quick Play,All,new-queen-street,Mauga,TANK,49.9,5.1
Quick Play,All,new-queen-street,Mei,DAMAGE,56.4,7.5
Quick Play,All,new-queen-street,Mercy,SUPPORT,46.6,8.6
Quick Play,All,new-queen-street,Mizuki,SUPPORT,53.1,22.5
Quick Play,All,new-queen-street,Moira,SUPPORT,51.4,16.1
Quick Play,All,new-queen-street,Orisa,TANK,45.4,10.0
Quick Play,All,new-queen-street,Pharah,DAMAGE,50.1,3.9
Quick Play,All,new-queen-street,Ramattra,TANK,48.0,6.3
Quick Play,All,new-queen-street,Reaper,DAMAGE,54.6,9.0
Quick Play,All,new-queen-street,Reinhardt,TANK,53.6,8.0
Quick Play,All,new-queen-street,Roadhog,TANK,46.8,8.5
Quick Play,All,new-queen-street,Sigma,TANK,51.9,7.7
Quick Play,All,new-queen-street,Sojourn,DAMAGE,44.8,14.0
Quick Play,All,new-queen-street,Soldier: 76,DAMAGE,52.0,18.5
Quick Play,All,new-queen-street,Sombra,DAMAGE,50.7,7.8
Quick Play,All,new-queen-street,Symmetra,DAMAGE,48.6,1.6
Quick Play,All,new-queen-street,Torbjörn,DAMAGE,54.2,3.1
Quick Play,All,new-queen-street,Tracer,DAMAGE,51.3,11.4
Quick Play,All,new-queen-street,Vendetta,DAMAGE,51.4,11.1
Quick Play,All,new-queen-street,Venture,DAMAGE,53.3,2.5
Quick Play,All,new-queen-street,Widowmaker,DAMAGE,42.8,2.8
Quick Play,All,new-queen-street,Winston,TANK,51.5,6.3
Quick Play,All,new-queen-street,Wrecking Ball,TANK,51.7,4.6
Quick Play,All,new-queen-street,Wuyang,SUPPORT,53.3,14.7
Quick Play,All,new-queen-street,Zarya,TANK,48.3,5.9
Quick Play,All,new-queen-street,Zenyatta,SUPPORT,54.0,9.2
Quick Play,All,runasapi,Ana,SUPPORT,45.9,34.4
Quick Play,All,runasapi,Anran,DAMAGE,53.0,14.9
Quick Play,All,runasapi,Ashe,DAMAGE,48.1,10.1
Quick Play,All,runasapi,Baptiste,SUPPORT,45.5,5.1
Quick Play,All,runasapi,Bastion,DAMAGE,48.6,9.6
Quick Play,All,runasapi,Brigitte,SUPPORT,49.9,3.9
Quick Play,All,runasapi,Cassidy,DAMAGE,49.0,21.9
Quick Play,All,runasapi,D.Va,TANK,47.1,7.7
Quick Play,All,runasapi,Domina,TANK,53.7,12.6
Quick Play,All,runasapi,Doomfist,TANK,48.4,9.4
Quick Play,All,runasapi,Echo,DAMAGE,50.9,5.0
Quick Play,All,runasapi,Emre,DAMAGE,50.4,19.8
Quick Play,All,runasapi,Freja,DAMAGE,45.4,4.8
Quick Play,All,runasapi,Genji,DAMAGE,48.3,11.0
Quick Play,All,runasapi,Hanzo,DAMAGE,49.4,5.7
Quick Play,All,runasapi,Hazard,TANK,52.3,3.7
Quick Play,All,runasapi,Illari,SUPPORT,52.8,6.5
Quick Play,All,runasapi,Jetpack Cat,SUPPORT,48.3,12.6
Quick Play,All,runasapi,Junker Queen,TANK,53.9,4.2
Quick Play,All,runasapi,Junkrat,DAMAGE,47.6,5.4
Quick Play,All,runasapi,Juno,SUPPORT,52.1,16.5
Quick Play,All,runasapi,Kiriko,SUPPORT,48.7,37.1
Quick Play,All,runasapi,Lifeweaver,SUPPORT,46.0,6.3
Quick Play,All,runasapi,Lúcio,SUPPORT,50.5,5.5
Quick Play,All,runasapi,Mauga,TANK,50.5,5.4
Quick Play,All,runasapi,Mei,DAMAGE,56.7,7.6
Quick Play,All,runasapi,Mercy,SUPPORT,47.3,8.6
Quick Play,All,runasapi,Mizuki,SUPPORT,54.0,23.7
Quick Play,All,runasapi,Moira,SUPPORT,50.6,16.1
Quick Play,All,runasapi,Orisa,TANK,45.8,10.0
Quick Play,All,runasapi,Pharah,DAMAGE,46.8,3.9
Quick Play,All,runasapi,Ramattra,TANK,48.3,6.4
Quick Play,All,runasapi,Reaper,DAMAGE,52.3,9.0
Quick Play,All,runasapi,Reinhardt,TANK,53.4,8.2
Quick Play,All,runasapi,Roadhog,TANK,48.8,8.3
Quick Play,All,runasapi,Sigma,TANK,49.8,7.9
Quick Play,All,runasapi,Sojourn,DAMAGE,45.4,13.6
Quick Play,All,runasapi,Soldier: 76,DAMAGE,51.8,16.8
Quick Play,All,runasapi,Sombra,DAMAGE,49.9,7.4
Quick Play,All,runasapi,Symmetra,DAMAGE,49.4,1.8
Quick Play,All,runasapi,Torbjörn,DAMAGE,53.6,3.1
Quick Play,All,runasapi,Tracer,DAMAGE,51.5,11.6
Quick Play,All,runasapi,Vendetta,DAMAGE,51.6,11.5
Quick Play,All,runasapi,Venture,DAMAGE,51.4,2.9
Quick Play,All,runasapi,Widowmaker,DAMAGE,41.6,2.6
Quick Play,All,runasapi,Winston,TANK,51.4,6.2
Quick Play,All,runasapi,Wrecking Ball,TANK,52.5,4.3
Quick Play,All,runasapi,Wuyang,SUPPORT,53.7,14.8
Quick Play,All,runasapi,Zarya,TANK,46.9,5.9
Quick Play,All,runasapi,Zenyatta,SUPPORT,53.7,9.1
Quick Play,All,colosseo,Ana,SUPPORT,45.9,39.7
Quick Play,All,colosseo,Anran,DAMAGE,53.7,13.7
Quick Play,All,colosseo,Ashe,DAMAGE,48.7,12.9
Quick Play,All,colosseo,Baptiste,SUPPORT,44.4,5.4
Quick Play,All,colosseo,Bastion,DAMAGE,46.4,9.6
Quick Play,All,colosseo,Brigitte,SUPPORT,47.0,3.5
Quick Play,All,colosseo,Cassidy,DAMAGE,45.6,18.6
Quick Play,All,colosseo,D.Va,TANK,45.2,7.1
Quick Play,All,colosseo,Domina,TANK,51.3,13.4
Quick Play,All,colosseo,Doomfist,TANK,51.1,9.5
Quick Play,All,colosseo,Echo,DAMAGE,49.6,4.7
Quick Play,All,colosseo,Emre,DAMAGE,49.8,20.0
Quick Play,All,colosseo,Freja,DAMAGE,46.4,5.4
Quick Play,All,colosseo,Genji,DAMAGE,52.0,11.3
Quick Play,All,colosseo,Hanzo,DAMAGE,50.7,7.8
Quick Play,All,colosseo,Hazard,TANK,52.8,3.3
Quick Play,All,colosseo,Illari,SUPPORT,53.2,7.1
Quick Play,All,colosseo,Jetpack Cat,SUPPORT,50.9,11.4
Quick Play,All,colosseo,Junker Queen,TANK,55.2,3.8
Quick Play,All,colosseo,Junkrat,DAMAGE,50.9,5.9
Quick Play,All,colosseo,Juno,SUPPORT,50.2,14.8
Quick Play,All,colosseo,Kiriko,SUPPORT,48.0,35.4
Quick Play,All,colosseo,Lifeweaver,SUPPORT,48.0,6.7
Quick Play,All,colosseo,Lúcio,SUPPORT,52.4,5.2
Quick Play,All,colosseo,Mauga,TANK,50.2,4.9
Quick Play,All,colosseo,Mei,DAMAGE,55.2,7.9
Quick Play,All,colosseo,Mercy,SUPPORT,48.3,8.9
Quick Play,All,colosseo,Mizuki,SUPPORT,54.3,22.1
Quick Play,All,colosseo,Moira,SUPPORT,50.1,14.8
Quick Play,All,colosseo,Orisa,TANK,44.3,9.9
Quick Play,All,colosseo,Pharah,DAMAGE,49.6,4.1
Quick Play,All,colosseo,Ramattra,TANK,47.5,6.7
Quick Play,All,colosseo,Reaper,DAMAGE,53.4,8.9
Quick Play,All,colosseo,Reinhardt,TANK,53.7,8.5
Quick Play,All,colosseo,Roadhog,TANK,50.2,7.8
Quick Play,All,colosseo,Sigma,TANK,50.5,9.0
Quick Play,All,colosseo,Sojourn,DAMAGE,45.8,13.5
Quick Play,All,colosseo,Soldier: 76,DAMAGE,48.6,14.9
Quick Play,All,colosseo,Sombra,DAMAGE,49.6,7.1
Quick Play,All,colosseo,Symmetra,DAMAGE,51.0,1.7
Quick Play,All,colosseo,Torbjörn,DAMAGE,54.5,3.3
Quick Play,All,colosseo,Tracer,DAMAGE,52.8,10.1
Quick Play,All,colosseo,Vendetta,DAMAGE,52.5,11.3
Quick Play,All,colosseo,Venture,DAMAGE,55.2,2.6
Quick Play,All,colosseo,Widowmaker,DAMAGE,45.6,4.8
Quick Play,All,colosseo,Winston,TANK,53.6,6.1
Quick Play,All,colosseo,Wrecking Ball,TANK,51.9,4.1
Quick Play,All,colosseo,Wuyang,SUPPORT,53.9,14.5
Quick Play,All,colosseo,Zarya,TANK,46.7,6.0
Quick Play,All,colosseo,Zenyatta,SUPPORT,53.3,10.6
Competitive,Bronze,all-maps,Ana,SUPPORT,48.2,25.2
Competitive,Bronze,all-maps,Anran,DAMAGE,51.5,10.9
Competitive,Bronze,all-maps,Ashe,DAMAGE,50.2,12.2
Competitive,Bronze,all-maps,Baptiste,SUPPORT,45.0,5.9
Competitive,Bronze,all-maps,Bastion,DAMAGE,48.4,16.6
Competitive,Bronze,all-maps,Brigitte,SUPPORT,50.6,2.3
Competitive,Bronze,all-maps,Cassidy,DAMAGE,48.8,13.9
Competitive,Bronze,all-maps,D.Va,TANK,47.4,10.4
Competitive,Bronze,all-maps,Domina,TANK,52.3,8.8
Competitive,Bronze,all-maps,Doomfist,TANK,50.9,3.6
Competitive,Bronze,all-maps,Echo,DAMAGE,49.9,5.0
Competitive,Bronze,all-maps,Emre,DAMAGE,50.0,18.1
Competitive,Bronze,all-maps,Freja,DAMAGE,48.5,4.5
Competitive,Bronze,all-maps,Genji,DAMAGE,51.6,8.1
Competitive,Bronze,all-maps,Hanzo,DAMAGE,50.1,5.7
Competitive,Bronze,all-maps,Hazard,TANK,50.0,2.3
Competitive,Bronze,all-maps,Illari,SUPPORT,53.2,12.4
Competitive,Bronze,all-maps,Jetpack Cat,SUPPORT,50.8,3.2
Competitive,Bronze,all-maps,Junker Queen,TANK,51.5,2.0
Competitive,Bronze,all-maps,Junkrat,DAMAGE,48.3,9.9
Competitive,Bronze,all-maps,Juno,SUPPORT,49.3,20.7
Competitive,Bronze,all-maps,Kiriko,SUPPORT,48.6,39.7
Competitive,Bronze,all-maps,Lifeweaver,SUPPORT,44.0,3.6
Competitive,Bronze,all-maps,Lúcio,SUPPORT,47.7,7.2
Competitive,Bronze,all-maps,Mauga,TANK,47.8,4.8
Competitive,Bronze,all-maps,Mei,DAMAGE,51.1,7.0
Competitive,Bronze,all-maps,Mercy,SUPPORT,46.1,10.5
Competitive,Bronze,all-maps,Mizuki,SUPPORT,53.7,18.2
Competitive,Bronze,all-maps,Moira,SUPPORT,49.0,26.7
Competitive,Bronze,all-maps,Orisa,TANK,46.6,14.4
Competitive,Bronze,all-maps,Pharah,DAMAGE,51.8,7.6
Competitive,Bronze,all-maps,Ramattra,TANK,48.1,9.3
Competitive,Bronze,all-maps,Reaper,DAMAGE,52.5,13.9
Competitive,Bronze,all-maps,Reinhardt,TANK,50.6,8.1
Competitive,Bronze,all-maps,Roadhog,TANK,48.7,5.8
Competitive,Bronze,all-maps,Sigma,TANK,52.4,15.9
Competitive,Bronze,all-maps,Sojourn,DAMAGE,44.0,19.4
Competitive,Bronze,all-maps,Soldier: 76,DAMAGE,48.8,20.2
Competitive,Bronze,all-maps,Sombra,DAMAGE,50.6,2.9
Competitive,Bronze,all-maps,Symmetra,DAMAGE,55.1,4.0
Competitive,Bronze,all-maps,Torbjörn,DAMAGE,50.3,4.8
Competitive,Bronze,all-maps,Tracer,DAMAGE,49.5,5.5
Competitive,Bronze,all-maps,Vendetta,DAMAGE,54.2,3.0
Competitive,Bronze,all-maps,Venture,DAMAGE,52.4,3.2
Competitive,Bronze,all-maps,Widowmaker,DAMAGE,47.0,3.8
Competitive,Bronze,all-maps,Winston,TANK,51.0,6.3
Competitive,Bronze,all-maps,Wrecking Ball,TANK,49.5,2.5
Competitive,Bronze,all-maps,Wuyang,SUPPORT,52.1,13.7
Competitive,Bronze,all-maps,Zarya,TANK,50.8,5.9
Competitive,Bronze,all-maps,Zenyatta,SUPPORT,51.8,10.7
Competitive,Bronze,ilios,Ana,SUPPORT,48.1,20.2
Competitive,Bronze,ilios,Anran,DAMAGE,53.8,12.9
Competitive,Bronze,ilios,Ashe,DAMAGE,50.0,8.8
Competitive,Bronze,ilios,Baptiste,SUPPORT,43.8,4.1
Competitive,Bronze,ilios,Bastion,DAMAGE,48.1,13.1
Competitive,Bronze,ilios,Brigitte,SUPPORT,47.0,3.5
Competitive,Bronze,ilios,Cassidy,DAMAGE,46.2,15.0
Competitive,Bronze,ilios,D.Va,TANK,45.9,10.2
Competitive,Bronze,ilios,Domina,TANK,57.4,8.4
Competitive,Bronze,ilios,Doomfist,TANK,52.3,4.6
Competitive,Bronze,ilios,Echo,DAMAGE,48.4,7.0
Competitive,Bronze,ilios,Emre,DAMAGE,46.6,15.8
Competitive,Bronze,ilios,Freja,DAMAGE,47.9,4.5
Competitive,Bronze,ilios,Genji,DAMAGE,52.7,9.2
Competitive,Bronze,ilios,Hanzo,DAMAGE,44.4,4.4
Competitive,Bronze,ilios,Hazard,TANK,49.7,2.4
Competitive,Bronze,ilios,Illari,SUPPORT,52.4,9.0
Competitive,Bronze,ilios,Jetpack Cat,SUPPORT,54.9,4.5
Competitive,Bronze,ilios,Junker Queen,TANK,55.1,2.3
Competitive,Bronze,ilios,Junkrat,DAMAGE,51.5,10.4
Competitive,Bronze,ilios,Juno,SUPPORT,51.4,22.0
Competitive,Bronze,ilios,Kiriko,SUPPORT,48.1,38.1
Competitive,Bronze,ilios,Lifeweaver,SUPPORT,47.9,3.9
Competitive,Bronze,ilios,Lúcio,SUPPORT,50.1,14.1
Competitive,Bronze,ilios,Mauga,TANK,55.4,5.1
Competitive,Bronze,ilios,Mei,DAMAGE,50.4,6.5
Competitive,Bronze,ilios,Mercy,SUPPORT,46.2,10.0
Competitive,Bronze,ilios,Mizuki,SUPPORT,54.2,18.8
Competitive,Bronze,ilios,Moira,SUPPORT,49.6,28.4
Competitive,Bronze,ilios,Orisa,TANK,46.8,14.1
Competitive,Bronze,ilios,Pharah,DAMAGE,55.3,12.6
Competitive,Bronze,ilios,Ramattra,TANK,49.2,8.1
Competitive,Bronze,ilios,Reaper,DAMAGE,56.7,16.5
Competitive,Bronze,ilios,Reinhardt,TANK,49.9,7.2
Competitive,Bronze,ilios,Roadhog,TANK,49.8,11.0
Competitive,Bronze,ilios,Sigma,TANK,48.7,11.5
Competitive,Bronze,ilios,Sojourn,DAMAGE,43.2,17.0
Competitive,Bronze,ilios,Soldier: 76,DAMAGE,49.0,18.9
Competitive,Bronze,ilios,Sombra,DAMAGE,50.7,3.0
Competitive,Bronze,ilios,Symmetra,DAMAGE,57.4,4.3
Competitive,Bronze,ilios,Torbjörn,DAMAGE,53.1,3.9
Competitive,Bronze,ilios,Tracer,DAMAGE,51.4,6.6
Competitive,Bronze,ilios,Vendetta,DAMAGE,52.1,3.4
Competitive,Bronze,ilios,Venture,DAMAGE,49.2,3.9
Competitive,Bronze,ilios,Widowmaker,DAMAGE,42.0,2.4
Competitive,Bronze,ilios,Winston,TANK,52.2,6.2
Competitive,Bronze,ilios,Wrecking Ball,TANK,48.2,2.8
Competitive,Bronze,ilios,Wuyang,SUPPORT,50.9,13.8
Competitive,Bronze,ilios,Zarya,TANK,49.0,6.1
Competitive,Bronze,ilios,Zenyatta,SUPPORT,52.2,9.6
Competitive,Bronze,nepal,Ana,SUPPORT,48.4,22.8
Competitive,Bronze,nepal,Anran,DAMAGE,54.2,12.9
Competitive,Bronze,nepal,Ashe,DAMAGE,53.7,8.9
Competitive,Bronze,nepal,Baptiste,SUPPORT,50.3,6.0
Competitive,Bronze,nepal,Bastion,DAMAGE,49.3,13.2
Competitive,Bronze,nepal,Brigitte,SUPPORT,50.5,3.1
Competitive,Bronze,nepal,Cassidy,DAMAGE,51.1,16.0
Competitive,Bronze,nepal,D.Va,TANK,47.3,9.7
Competitive,Bronze,nepal,Domina,TANK,53.6,8.8
Competitive,Bronze,nepal,Doomfist,TANK,52.7,4.3
Competitive,Bronze,nepal,Echo,DAMAGE,48.1,4.9
Competitive,Bronze,nepal,Emre,DAMAGE,51.5,17.2
Competitive,Bronze,nepal,Freja,DAMAGE,39.7,4.5
Competitive,Bronze,nepal,Genji,DAMAGE,49.0,9.4
Competitive,Bronze,nepal,Hanzo,DAMAGE,51.2,4.9
Competitive,Bronze,nepal,Hazard,TANK,47.4,2.7
Competitive,Bronze,nepal,Illari,SUPPORT,53.0,9.9
Competitive,Bronze,nepal,Jetpack Cat,SUPPORT,51.1,3.7
Competitive,Bronze,nepal,Junker Queen,TANK,50.5,2.4
Competitive,Bronze,nepal,Junkrat,DAMAGE,53.1,11.1
Competitive,Bronze,nepal,Juno,SUPPORT,51.2,20.5
Competitive,Bronze,nepal,Kiriko,SUPPORT,49.2,39.1
Competitive,Bronze,nepal,Lifeweaver,SUPPORT,44.9,3.8
Competitive,Bronze,nepal,Lúcio,SUPPORT,47.9,9.5
Competitive,Bronze,nepal,Mauga,TANK,41.5,4.8
Competitive,Bronze,nepal,Mei,DAMAGE,50.6,7.7
Competitive,Bronze,nepal,Mercy,SUPPORT,43.0,10.0
Competitive,Bronze,nepal,Mizuki,SUPPORT,55.7,18.8
Competitive,Bronze,nepal,Moira,SUPPORT,50.2,29.1
Competitive,Bronze,nepal,Orisa,TANK,43.9,14.2
Competitive,Bronze,nepal,Pharah,DAMAGE,51.4,6.6
Competitive,Bronze,nepal,Ramattra,TANK,45.4,8.4
Competitive,Bronze,nepal,Reaper,DAMAGE,51.5,15.6
Competitive,Bronze,nepal,Reinhardt,TANK,54.9,8.9
Competitive,Bronze,nepal,Roadhog,TANK,54.3,8.3
Competitive,Bronze,nepal,Sigma,TANK,51.9,13.1
Competitive,Bronze,nepal,Sojourn,DAMAGE,45.1,18.2
Competitive,Bronze,nepal,Soldier: 76,DAMAGE,46.1,20.9
Competitive,Bronze,nepal,Sombra,DAMAGE,54.8,3.5
Competitive,Bronze,nepal,Symmetra,DAMAGE,60.4,5.6
Competitive,Bronze,nepal,Torbjörn,DAMAGE,48.2,3.5
Competitive,Bronze,nepal,Tracer,DAMAGE,47.4,6.6
Competitive,Bronze,nepal,Vendetta,DAMAGE,53.3,3.3
Competitive,Bronze,nepal,Venture,DAMAGE,45.9,3.3
Competitive,Bronze,nepal,Widowmaker,DAMAGE,38.4,1.9
Competitive,Bronze,nepal,Winston,TANK,52.1,5.7
Competitive,Bronze,nepal,Wrecking Ball,TANK,52.2,2.4
Competitive,Bronze,nepal,Wuyang,SUPPORT,50.1,13.9
Competitive,Bronze,nepal,Zarya,TANK,56.1,6.5
Competitive,Bronze,nepal,Zenyatta,SUPPORT,49.4,9.9
Competitive,Bronze,lijiang-tower,Ana,SUPPORT,48.0,21.9
Competitive,Bronze,lijiang-tower,Anran,DAMAGE,51.4,12.8
Competitive,Bronze,lijiang-tower,Ashe,DAMAGE,46.7,7.7
Competitive,Bronze,lijiang-tower,Baptiste,SUPPORT,43.7,4.8
Competitive,Bronze,lijiang-tower,Bastion,DAMAGE,47.9,14.6
Competitive,Bronze,lijiang-tower,Brigitte,SUPPORT,58.4,3.1
Competitive,Bronze,lijiang-tower,Cassidy,DAMAGE,45.5,15.8
Competitive,Bronze,lijiang-tower,D.Va,TANK,44.1,9.8
Competitive,Bronze,lijiang-tower,Domina,TANK,51.6,7.9
Competitive,Bronze,lijiang-tower,Doomfist,TANK,53.5,4.6
Competitive,Bronze,lijiang-tower,Echo,DAMAGE,48.3,4.8
Competitive,Bronze,lijiang-tower,Emre,DAMAGE,46.1,15.6
Competitive,Bronze,lijiang-tower,Freja,DAMAGE,47.1,4.0
Competitive,Bronze,lijiang-tower,Genji,DAMAGE,53.2,8.9
Competitive,Bronze,lijiang-tower,Hanzo,DAMAGE,46.8,5.4
Competitive,Bronze,lijiang-tower,Hazard,TANK,54.5,2.6
Competitive,Bronze,lijiang-tower,Illari,SUPPORT,53.9,10.2
Competitive,Bronze,lijiang-tower,Jetpack Cat,SUPPORT,55.6,4.3
Competitive,Bronze,lijiang-tower,Junker Queen,TANK,52.7,2.5
Competitive,Bronze,lijiang-tower,Junkrat,DAMAGE,49.9,11.3
Competitive,Bronze,lijiang-tower,Juno,SUPPORT,47.5,19.6
Competitive,Bronze,lijiang-tower,Kiriko,SUPPORT,48.4,38.9
Competitive,Bronze,lijiang-tower,Lifeweaver,SUPPORT,40.6,3.6
Competitive,Bronze,lijiang-tower,Lúcio,SUPPORT,52.4,11.9
Competitive,Bronze,lijiang-tower,Mauga,TANK,46.6,5.0
Competitive,Bronze,lijiang-tower,Mei,DAMAGE,54.0,7.7
Competitive,Bronze,lijiang-tower,Mercy,SUPPORT,44.7,9.4
Competitive,Bronze,lijiang-tower,Mizuki,SUPPORT,55.5,19.2
Competitive,Bronze,lijiang-tower,Moira,SUPPORT,50.6,29.2
Competitive,Bronze,lijiang-tower,Orisa,TANK,50.2,14.6
Competitive,Bronze,lijiang-tower,Pharah,DAMAGE,56.9,9.2
Competitive,Bronze,lijiang-tower,Ramattra,TANK,49.1,8.8
Competitive,Bronze,lijiang-tower,Reaper,DAMAGE,54.8,15.5
Competitive,Bronze,lijiang-tower,Reinhardt,TANK,57.5,9.0
Competitive,Bronze,lijiang-tower,Roadhog,TANK,50.0,7.0
Competitive,Bronze,lijiang-tower,Sigma,TANK,47.3,12.8
Competitive,Bronze,lijiang-tower,Sojourn,DAMAGE,48.4,18.5
Competitive,Bronze,lijiang-tower,Soldier: 76,DAMAGE,50.1,19.9
Competitive,Bronze,lijiang-tower,Sombra,DAMAGE,45.6,2.8
Competitive,Bronze,lijiang-tower,Symmetra,DAMAGE,58.9,5.9
Competitive,Bronze,lijiang-tower,Torbjörn,DAMAGE,58.7,3.6
Competitive,Bronze,lijiang-tower,Tracer,DAMAGE,46.3,6.7
Competitive,Bronze,lijiang-tower,Vendetta,DAMAGE,52.6,3.6
Competitive,Bronze,lijiang-tower,Venture,DAMAGE,50.1,3.7
Competitive,Bronze,lijiang-tower,Widowmaker,DAMAGE,34.4,1.9
Competitive,Bronze,lijiang-tower,Winston,TANK,46.9,5.2
Competitive,Bronze,lijiang-tower,Wrecking Ball,TANK,51.7,3.0
Competitive,Bronze,lijiang-tower,Wuyang,SUPPORT,46.8,13.9
Competitive,Bronze,lijiang-tower,Zarya,TANK,50.4,7.3
Competitive,Bronze,lijiang-tower,Zenyatta,SUPPORT,54.3,10.0
Competitive,Bronze,oasis,Ana,SUPPORT,45.9,20.6
Competitive,Bronze,oasis,Anran,DAMAGE,51.0,14.3
Competitive,Bronze,oasis,Ashe,DAMAGE,46.3,8.8
Competitive,Bronze,oasis,Baptiste,SUPPORT,46.3,5.8
Competitive,Bronze,oasis,Bastion,DAMAGE,50.4,14.1
Competitive,Bronze,oasis,Brigitte,SUPPORT,49.1,2.8
Competitive,Bronze,oasis,Cassidy,DAMAGE,50.9,17.2
Competitive,Bronze,oasis,D.Va,TANK,50.1,9.9
Competitive,Bronze,oasis,Domina,TANK,51.8,8.1
Competitive,Bronze,oasis,Doomfist,TANK,49.6,3.3
Competitive,Bronze,oasis,Echo,DAMAGE,53.7,4.8
Competitive,Bronze,oasis,Emre,DAMAGE,49.5,16.3
Competitive,Bronze,oasis,Freja,DAMAGE,43.7,3.7
Competitive,Bronze,oasis,Genji,DAMAGE,49.7,9.3
Competitive,Bronze,oasis,Hanzo,DAMAGE,47.9,3.9
Competitive,Bronze,oasis,Hazard,TANK,52.7,3.2
Competitive,Bronze,oasis,Illari,SUPPORT,53.1,10.3
Competitive,Bronze,oasis,Jetpack Cat,SUPPORT,51.2,2.5
Competitive,Bronze,oasis,Junker Queen,TANK,58.3,2.7
Competitive,Bronze,oasis,Junkrat,DAMAGE,48.4,8.6
Competitive,Bronze,oasis,Juno,SUPPORT,49.0,22.4
Competitive,Bronze,oasis,Kiriko,SUPPORT,50.4,38.7
Competitive,Bronze,oasis,Lifeweaver,SUPPORT,38.0,4.0
Competitive,Bronze,oasis,Lúcio,SUPPORT,42.8,7.5
Competitive,Bronze,oasis,Mauga,TANK,50.9,5.0
Competitive,Bronze,oasis,Mei,DAMAGE,52.8,7.7
Competitive,Bronze,oasis,Mercy,SUPPORT,43.4,9.3
Competitive,Bronze,oasis,Mizuki,SUPPORT,56.4,21.4
Competitive,Bronze,oasis,Moira,SUPPORT,50.8,30.7
Competitive,Bronze,oasis,Orisa,TANK,45.1,14.0
Competitive,Bronze,oasis,Pharah,DAMAGE,56.3,7.9
Competitive,Bronze,oasis,Ramattra,TANK,47.3,9.7
Competitive,Bronze,oasis,Reaper,DAMAGE,52.5,14.9
Competitive,Bronze,oasis,Reinhardt,TANK,50.0,8.3
Competitive,Bronze,oasis,Roadhog,TANK,52.9,6.8
Competitive,Bronze,oasis,Sigma,TANK,51.7,13.3
Competitive,Bronze,oasis,Sojourn,DAMAGE,42.8,19.9
Competitive,Bronze,oasis,Soldier: 76,DAMAGE,49.5,21.5
Competitive,Bronze,oasis,Sombra,DAMAGE,56.6,3.0
Competitive,Bronze,oasis,Symmetra,DAMAGE,55.2,4.3
Competitive,Bronze,oasis,Torbjörn,DAMAGE,53.3,4.6
Competitive,Bronze,oasis,Tracer,DAMAGE,48.7,6.9
Competitive,Bronze,oasis,Vendetta,DAMAGE,52.4,3.1
Competitive,Bronze,oasis,Venture,DAMAGE,55.0,3.6
Competitive,Bronze,oasis,Widowmaker,DAMAGE,43.7,1.6
Competitive,Bronze,oasis,Winston,TANK,49.8,5.9
Competitive,Bronze,oasis,Wrecking Ball,TANK,45.4,2.9
Competitive,Bronze,oasis,Wuyang,SUPPORT,57.8,14.1
Competitive,Bronze,oasis,Zarya,TANK,52.3,6.9
Competitive,Bronze,oasis,Zenyatta,SUPPORT,50.4,9.8
Competitive,Bronze,samoa,Ana,SUPPORT,47.3,21.8
Competitive,Bronze,samoa,Anran,DAMAGE,50.0,14.2
Competitive,Bronze,samoa,Ashe,DAMAGE,47.3,9.2
Competitive,Bronze,samoa,Baptiste,SUPPORT,46.7,6.0
